thread_id,status,detail,thread_start_time
4220547653,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-03-22 20:09:43.505000+00:00
4235542049,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-03-24 18:34:31.319000+00:00
4238401560,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-03-25 09:28:08.410000+00:00
4252527487,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-03-28 04:42:18.822000+00:00
4257563475,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-03-28 18:28:08.458000+00:00
4260437794,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-03-29 07:43:30.477000+00:00
4273152058,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-03-30 17:09:10.726000+00:00
4302295666,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-04-04 20:45:24.385000+00:00
4357947245,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-04-14 01:35:07.974000+00:00
4383582558,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-04-18 14:47:07.055000+00:00
4455690152,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-04-29 12:24:41.126000+00:00
4479635200,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-05-03 20:23:27.895000+00:00
4505432580,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-05-08 21:50:21.891000+00:00
4530490539,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-05-11 20:04:17.335000+00:00
4534343549,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-05-12 13:24:56.322000+00:00
4548915727,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-05-15 18:07:18.066000+00:00
4549844877,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-05-15 20:34:12.844000+00:00
4564386317,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-05-17 15:05:25.686000+00:00
4571833661,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-05-18 15:23:48.005000+00:00
4579616290,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-05-19 17:23:11.566000+00:00
4602344079,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-05-23 18:33:11.734000+00:00
4604611730,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-05-24 01:35:37.068000+00:00
4605531408,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-05-24 07:23:39.681000+00:00
4654339164,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-05-30 22:46:17.621000+00:00
4715279731,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-06-08 19:46:33.352000+00:00
4719111048,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-06-09 12:14:50.102000+00:00
4721764274,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-06-09 16:45:06.142000+00:00
4726442025,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-06-10 16:19:30.085000+00:00
4730285420,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-06-12 02:55:24.793000+00:00
